frequency_hz,relative_db
20.0,4.22
22.5,-15.99
25.3,-15.99
28.4,-13.22
31.9,-13.48
35.9,-16.64
40.4,-14.21
45.4,-14.18
51.0,4.90
57.4,4.76
64.5,4.54
72.5,4.25
81.5,4.02
91.6,3.56
103.0,-22.20
115.8,2.93
130.2,2.45
146.4,2.06
164.5,1.67
185.0,-9.89
208.0,-22.33
233.8,-0.03
262.8,-0.13
295.5,-0.44
332.2,-0.69
373.4,-0.72
419.8,-0.74
472.0,13.88
530.6,-22.43
596.5,-21.99
670.6,13.93
753.9,-1.64
847.5,-1.51
952.8,-0.91
1071.1,-22.25
1204.2,1.31
1353.8,2.46
1521.9,3.42
1710.9,4.51
1923.4,5.81
2162.4,7.23
2430.9,9.35
2732.9,10.98
3072.3,11.53
3454.0,11.39
3883.0,11.27
4365.3,10.97
4907.5,7.61
5517.1,2.60
6202.3,-0.95
6972.7,-1.42
7838.8,2.77
8812.5,-3.06
9907.1,-8.70
11137.6,-22.20
12521.0,-8.31
14076.3,-3.84
15824.7,-7.34
17790.3,-13.01
20000.0,-22.33
