frequency_hz,relative_db
20.0,-2.42
22.5,3.01
25.3,3.12
28.4,3.36
31.9,3.38
35.9,3.43
40.4,3.45
45.4,3.41
51.0,3.27
57.4,3.08
64.5,2.94
72.5,2.61
81.5,2.42
91.6,2.09
103.0,1.65
115.8,1.27
130.2,0.77
146.4,0.43
164.5,0.01
185.0,-0.43
208.0,-0.89
233.8,-1.39
262.8,-1.77
295.5,-2.07
332.2,-2.42
373.4,-2.79
419.8,-2.98
472.0,-3.13
530.6,-3.25
596.5,-3.26
670.6,-3.50
753.9,-3.25
847.5,-3.10
952.8,-2.61
1071.1,-1.66
1204.2,-0.42
1353.8,0.77
1521.9,1.77
1710.9,2.85
1923.4,4.18
2162.4,5.81
2430.9,7.65
2732.9,9.34
3072.3,9.96
3454.0,9.75
3883.0,9.66
4365.3,9.30
4907.5,5.62
5517.1,0.67
6202.3,-2.78
6972.7,-3.27
7838.8,1.03
8812.5,-5.61
9907.1,-10.65
11137.6,-11.27
12521.0,-10.71
14076.3,-5.59
15824.7,-9.50
17790.3,-14.60
20000.0,-10.43
