frequency,raw,smoothed
20.0,-6.5,-6.5
20.2,-6.42,-6.42
20.4,-6.35,-6.34
20.61,-6.27,-6.27
20.81,-6.2,-6.19
21.02,-6.12,-6.12
21.23,-6.05,-6.05
21.44,-5.99,-5.98
21.66,-5.92,-5.92
21.87,-5.86,-5.86
22.09,-5.81,-5.8
22.31,-5.75,-5.75
22.54,-5.7,-5.69
22.76,-5.64,-5.64
22.99,-5.58,-5.58
23.22,-5.52,-5.52
23.45,-5.46,-5.46
23.69,-5.4,-5.4
23.92,-5.34,-5.33
24.16,-5.27,-5.27
24.4,-5.21,-5.2
24.65,-5.14,-5.14
24.89,-5.08,-5.07
25.14,-5.01,-5.0
25.39,-4.94,-4.94
25.65,-4.88,-4.88
25.91,-4.83,-4.83
26.16,-4.78,-4.77
26.43,-4.73,-4.73
26.69,-4.68,-4.68
26.96,-4.64,-4.63
27.23,-4.59,-4.58
27.5,-4.53,-4.53
27.77,-4.47,-4.47
28.05,-4.41,-4.41
28.33,-4.35,-4.35
28.62,-4.29,-4.29
28.9,-4.24,-4.23
29.19,-4.18,-4.18
29.48,-4.13,-4.12
29.78,-4.07,-4.07
30.08,-4.02,-4.02
30.38,-3.97,-3.97
30.68,-3.92,-3.92
30.99,-3.87,-3.87
31.3,-3.82,-3.82
31.61,-3.78,-3.77
31.93,-3.73,-3.73
32.24,-3.68,-3.68
32.57,-3.64,-3.64
32.89,-3.6,-3.6
33.22,-3.56,-3.56
33.55,-3.52,-3.52
33.89,-3.48,-3.48
34.23,-3.44,-3.44
34.57,-3.4,-3.39
34.92,-3.35,-3.35
35.27,-3.31,-3.31
35.62,-3.27,-3.26
35.97,-3.22,-3.22
36.33,-3.18,-3.18
36.7,-3.15,-3.14
37.06,-3.11,-3.11
37.43,-3.09,-3.09
37.81,-3.07,-3.06
38.19,-3.05,-3.04
38.57,-3.02,-3.02
38.95,-2.99,-2.99
39.34,-2.96,-2.95
39.74,-2.93,-2.93
40.14,-2.9,-2.9
40.54,-2.89,-2.88
40.94,-2.86,-2.86
41.35,-2.84,-2.83
41.76,-2.8,-2.8
42.18,-2.77,-2.77
42.6,-2.75,-2.75
43.03,-2.74,-2.73
43.46,-2.73,-2.73
43.9,-2.73,-2.73
44.33,-2.73,-2.72
44.78,-2.72,-2.71
45.23,-2.7,-2.7
45.68,-2.69,-2.69
46.13,-2.68,-2.67
46.6,-2.66,-2.66
47.06,-2.65,-2.65
47.53,-2.64,-2.64
48.01,-2.65,-2.64
48.49,-2.65,-2.64
48.97,-2.64,-2.63
49.46,-2.62,-2.62
49.96,-2.6,-2.6
50.46,-2.58,-2.58
50.96,-2.57,-2.56
51.47,-2.55,-2.55
51.99,-2.54,-2.54
52.51,-2.53,-2.52
53.03,-2.51,-2.51
53.56,-2.5,-2.5
54.1,-2.49,-2.48
54.64,-2.48,-2.48
55.18,-2.47,-2.47
55.74,-2.47,-2.47
56.29,-2.47,-2.47
56.86,-2.48,-2.47
57.42,-2.49,-2.49
58.0,-2.5,-2.5
58.58,-2.53,-2.52
59.16,-2.55,-2.55
59.76,-2.58,-2.58
60.35,-2.62,-2.62
60.96,-2.66,-2.66
61.57,-2.71,-2.7
62.18,-2.74,-2.74
62.8,-2.77,-2.77
63.43,-2.81,-2.81
64.07,-2.85,-2.84
64.71,-2.87,-2.87
65.35,-2.9,-2.9
66.01,-2.92,-2.92
66.67,-2.93,-2.93
67.33,-2.93,-2.92
68.01,-2.91,-2.91
68.69,-2.89,-2.89
69.37,-2.87,-2.87
70.07,-2.85,-2.84
70.77,-2.81,-2.81
71.48,-2.78,-2.78
72.19,-2.76,-2.75
72.91,-2.73,-2.73
73.64,-2.7,-2.7
74.38,-2.68,-2.67
75.12,-2.66,-2.65
75.87,-2.64,-2.64
76.63,-2.63,-2.63
77.4,-2.62,-2.61
78.17,-2.6,-2.6
78.95,-2.59,-2.59
79.74,-2.59,-2.58
80.54,-2.59,-2.59
81.35,-2.59,-2.59
82.16,-2.59,-2.58
82.98,-2.59,-2.58
83.81,-2.58,-2.58
84.65,-2.59,-2.58
85.5,-2.59,-2.59
86.35,-2.6,-2.59
87.22,-2.6,-2.59
88.09,-2.59,-2.59
88.97,-2.59,-2.59
89.86,-2.6,-2.59
90.76,-2.61,-2.6
91.66,-2.61,-2.61
92.58,-2.62,-2.63
93.51,-2.65,-2.64
94.44,-2.66,-2.64
95.39,-2.64,-2.63
96.34,-2.6,-2.61
97.3,-2.59,-2.6
98.28,-2.62,-2.62
99.26,-2.66,-2.65
100.25,-2.69,-2.67
101.25,-2.68,-2.68
102.27,-2.68,-2.68
103.29,-2.68,-2.67
104.32,-2.68,-2.68
105.37,-2.69,-2.69
106.42,-2.7,-2.69
107.48,-2.7,-2.7
108.56,-2.71,-2.71
109.64,-2.73,-2.73
110.74,-2.76,-2.75
111.85,-2.77,-2.76
112.97,-2.76,-2.76
114.1,-2.76,-2.77
115.24,-2.79,-2.78
116.39,-2.81,-2.8
117.55,-2.82,-2.82
118.73,-2.83,-2.83
119.92,-2.85,-2.84
121.12,-2.85,-2.84
122.33,-2.84,-2.85
123.55,-2.86,-2.85
124.79,-2.86,-2.86
126.03,-2.87,-2.86
127.29,-2.87,-2.87
128.57,-2.88,-2.88
129.85,-2.89,-2.89
131.15,-2.9,-2.9
132.46,-2.91,-2.91
133.79,-2.92,-2.92
135.12,-2.94,-2.93
