frequency,raw,smoothed
20.0,-1.8,-1.8
20.2,-1.75,-1.75
20.4,-1.69,-1.69
20.61,-1.64,-1.64
20.81,-1.59,-1.59
21.02,-1.55,-1.55
21.23,-1.5,-1.5
21.44,-1.44,-1.44
21.66,-1.38,-1.38
21.87,-1.31,-1.31
22.09,-1.24,-1.24
22.31,-1.17,-1.17
22.54,-1.1,-1.1
22.76,-1.04,-1.04
22.99,-0.97,-0.98
23.22,-0.92,-0.92
23.45,-0.86,-0.86
23.69,-0.81,-0.81
23.92,-0.75,-0.75
24.16,-0.7,-0.7
24.4,-0.64,-0.64
24.65,-0.58,-0.58
24.89,-0.52,-0.52
25.14,-0.47,-0.47
25.39,-0.41,-0.42
25.65,-0.37,-0.37
25.91,-0.32,-0.32
26.16,-0.27,-0.27
26.43,-0.21,-0.21
26.69,-0.15,-0.16
26.96,-0.1,-0.1
27.23,-0.04,-0.04
27.5,0.02,0.02
27.77,0.07,0.07
28.05,0.12,0.12
28.33,0.17,0.17
28.62,0.22,0.22
28.9,0.27,0.27
29.19,0.32,0.32
29.48,0.38,0.37
29.78,0.42,0.42
30.08,0.47,0.47
30.38,0.51,0.51
30.68,0.56,0.56
30.99,0.6,0.6
31.3,0.65,0.65
31.61,0.7,0.7
31.93,0.74,0.74
32.24,0.79,0.79
32.57,0.83,0.83
32.89,0.87,0.87
33.22,0.91,0.91
33.55,0.94,0.94
33.89,0.98,0.98
34.23,1.02,1.02
34.57,1.06,1.06
34.92,1.1,1.1
35.27,1.13,1.13
35.62,1.16,1.16
35.97,1.2,1.19
36.33,1.23,1.23
36.7,1.26,1.26
37.06,1.3,1.3
37.43,1.33,1.33
37.81,1.36,1.36
38.19,1.39,1.39
38.57,1.41,1.41
38.95,1.44,1.44
39.34,1.47,1.47
39.74,1.5,1.5
40.14,1.53,1.53
40.54,1.57,1.56
40.94,1.59,1.59
41.35,1.61,1.61
41.76,1.63,1.63
42.18,1.65,1.65
42.6,1.68,1.68
43.03,1.7,1.7
43.46,1.72,1.72
43.9,1.74,1.74
44.33,1.76,1.76
44.78,1.78,1.78
45.23,1.79,1.79
45.68,1.81,1.81
46.13,1.82,1.82
46.6,1.83,1.83
47.06,1.85,1.85
47.53,1.86,1.86
48.01,1.87,1.87
48.49,1.88,1.88
48.97,1.89,1.89
49.46,1.9,1.9
49.96,1.9,1.9
50.46,1.91,1.91
50.96,1.92,1.92
51.47,1.92,1.92
51.99,1.92,1.92
52.51,1.92,1.92
53.03,1.93,1.93
53.56,1.93,1.93
54.1,1.93,1.93
54.64,1.93,1.93
55.18,1.93,1.93
55.74,1.93,1.93
56.29,1.93,1.93
56.86,1.94,1.94
57.42,1.94,1.94
58.0,1.94,1.94
58.58,1.93,1.93
59.16,1.92,1.92
59.76,1.91,1.91
60.35,1.91,1.91
60.96,1.92,1.91
61.57,1.91,1.91
62.18,1.9,1.9
62.8,1.89,1.89
63.43,1.88,1.88
64.07,1.87,1.87
64.71,1.85,1.85
65.35,1.84,1.84
66.01,1.83,1.83
66.67,1.81,1.81
67.33,1.79,1.79
68.01,1.77,1.77
68.69,1.74,1.74
69.37,1.71,1.71
70.07,1.69,1.69
70.77,1.67,1.67
71.48,1.64,1.64
72.19,1.61,1.61
72.91,1.58,1.58
73.64,1.55,1.55
74.38,1.52,1.52
75.12,1.48,1.48
75.87,1.45,1.45
76.63,1.42,1.42
77.4,1.39,1.39
78.17,1.36,1.36
78.95,1.33,1.33
79.74,1.29,1.29
80.54,1.27,1.27
81.35,1.24,1.24
82.16,1.22,1.22
82.98,1.19,1.19
83.81,1.17,1.17
84.65,1.16,1.16
85.5,1.14,1.14
86.35,1.13,1.13
87.22,1.11,1.11
88.09,1.09,1.09
88.97,1.08,1.08
89.86,1.07,1.07
90.76,1.05,1.05
91.66,1.03,1.03
92.58,1.0,1.0
93.51,0.98,0.98
94.44,0.96,0.96
95.39,0.95,0.95
96.34,0.93,0.93
97.3,0.92,0.92
98.28,0.9,0.9
99.26,0.88,0.88
100.25,0.87,0.87
101.25,0.86,0.86
102.27,0.85,0.85
103.29,0.83,0.83
104.32,0.82,0.82
105.37,0.81,0.81
106.42,0.8,0.8
107.48,0.79,0.79
108.56,0.78,0.78
109.64,0.77,0.77
110.74,0.77,0.77
111.85,0.76,0.76
112.97,0.75,0.75
114.1,0.74,0.74
115.24,0.73,0.73
116.39,0.72,0.72
117.55,0.71,0.71
