frequency,raw,smoothed
20.0,-2.76,-2.76
20.2,-2.7,-2.71
20.4,-2.65,-2.65
20.61,-2.6,-2.6
20.81,-2.54,-2.54
21.02,-2.49,-2.49
21.23,-2.44,-2.44
21.44,-2.4,-2.39
21.66,-2.33,-2.34
21.87,-2.27,-2.28
22.09,-2.22,-2.21
22.31,-2.15,-2.15
22.54,-2.08,-2.08
22.76,-2.01,-2.02
22.99,-1.95,-1.94
23.22,-1.87,-1.87
23.45,-1.79,-1.8
23.69,-1.74,-1.73
23.92,-1.67,-1.67
24.16,-1.6,-1.61
24.4,-1.54,-1.54
24.65,-1.49,-1.48
24.89,-1.43,-1.43
25.14,-1.37,-1.38
25.39,-1.34,-1.33
25.65,-1.28,-1.29
25.91,-1.24,-1.24
26.16,-1.2,-1.2
26.43,-1.15,-1.16
26.69,-1.11,-1.11
26.96,-1.07,-1.07
27.23,-1.02,-1.02
27.5,-0.97,-0.97
27.77,-0.92,-0.92
28.05,-0.87,-0.87
28.33,-0.81,-0.82
28.62,-0.76,-0.76
28.9,-0.71,-0.71
29.19,-0.65,-0.66
29.48,-0.6,-0.6
29.78,-0.56,-0.56
30.08,-0.51,-0.51
30.38,-0.47,-0.47
30.68,-0.43,-0.43
30.99,-0.39,-0.39
31.3,-0.36,-0.36
31.61,-0.32,-0.32
31.93,-0.29,-0.29
32.24,-0.25,-0.25
32.57,-0.21,-0.21
32.89,-0.16,-0.16
33.22,-0.11,-0.12
33.55,-0.07,-0.07
33.89,-0.02,-0.02
34.23,0.03,0.02
34.57,0.07,0.07
34.92,0.11,0.11
35.27,0.15,0.15
35.62,0.18,0.18
35.97,0.21,0.21
36.33,0.23,0.23
36.7,0.26,0.26
37.06,0.28,0.28
37.43,0.3,0.3
37.81,0.33,0.33
38.19,0.36,0.36
38.57,0.39,0.39
38.95,0.43,0.43
39.34,0.47,0.47
39.74,0.51,0.51
40.14,0.54,0.54
40.54,0.57,0.57
40.94,0.59,0.59
41.35,0.61,0.61
41.76,0.62,0.62
42.18,0.63,0.63
42.6,0.64,0.64
43.03,0.64,0.64
43.46,0.65,0.65
43.9,0.66,0.66
44.33,0.67,0.67
44.78,0.69,0.69
45.23,0.72,0.71
45.68,0.74,0.74
46.13,0.76,0.76
46.6,0.78,0.78
47.06,0.79,0.79
47.53,0.8,0.8
48.01,0.81,0.81
48.49,0.81,0.81
48.97,0.82,0.82
49.46,0.83,0.83
49.96,0.84,0.84
50.46,0.85,0.85
50.96,0.86,0.86
51.47,0.88,0.88
51.99,0.9,0.89
52.51,0.91,0.91
53.03,0.92,0.92
53.56,0.93,0.93
54.1,0.94,0.94
54.64,0.94,0.94
55.18,0.94,0.94
55.74,0.94,0.94
56.29,0.94,0.94
56.86,0.93,0.93
57.42,0.93,0.93
58.0,0.92,0.92
58.58,0.91,0.91
59.16,0.9,0.9
59.76,0.89,0.89
60.35,0.88,0.88
60.96,0.86,0.86
61.57,0.85,0.85
62.18,0.83,0.83
62.8,0.81,0.81
63.43,0.79,0.79
64.07,0.78,0.78
64.71,0.76,0.76
65.35,0.74,0.74
66.01,0.72,0.72
66.67,0.7,0.7
67.33,0.68,0.68
68.01,0.66,0.66
68.69,0.65,0.64
69.37,0.63,0.63
70.07,0.62,0.62
70.77,0.61,0.61
71.48,0.59,0.59
72.19,0.58,0.58
72.91,0.56,0.56
73.64,0.55,0.55
74.38,0.53,0.53
75.12,0.52,0.52
75.87,0.51,0.51
76.63,0.51,0.51
77.4,0.51,0.51
78.17,0.51,0.51
78.95,0.5,0.5
79.74,0.5,0.5
80.54,0.5,0.5
81.35,0.51,0.51
82.16,0.51,0.51
82.98,0.51,0.51
83.81,0.51,0.51
84.65,0.51,0.51
85.5,0.52,0.52
86.35,0.53,0.53
87.22,0.53,0.53
88.09,0.54,0.54
88.97,0.54,0.54
89.86,0.54,0.54
90.76,0.54,0.54
91.66,0.55,0.54
92.58,0.54,0.54
93.51,0.54,0.54
94.44,0.53,0.53
95.39,0.52,0.52
96.34,0.51,0.51
97.3,0.5,0.5
98.28,0.5,0.49
99.26,0.48,0.48
100.25,0.47,0.47
101.25,0.45,0.45
102.27,0.44,0.44
103.29,0.42,0.42
104.32,0.41,0.41
105.37,0.39,0.39
106.42,0.37,0.37
107.48,0.35,0.35
108.56,0.33,0.33
109.64,0.32,0.31
110.74,0.3,0.3
111.85,0.28,0.28
112.97,0.27,0.27
114.1,0.26,0.26
115.24,0.25,0.25
116.39,0.24,0.24
117.55,0.22,0.22
118.73,0.2,0.2
119.92,0.18,0.18
121.12,0.16,0.16
122.33,0.14,0.14
123.55,0.13,0.13
124.79,0.11,0.11
126.03,0.1,0.1
127.29,0.08,0.08
128.57,0.06,0.06
129.85,0.04,0.04
131.15,0.02,0.02
132.46,0.01,0.0
133.79,-0.01,-0.01
135.12,-0.03,-0.03
136.48,-0.04,-0.04
137.84,-0.06,-0.06
139.22,-0.08,-0.08
140.61,-0.1,-0.1
142.02,-0.13,-0.13
143.44,-0.15,-0.15
