frequency,raw,smoothed
20.0,-5.13,-5.13
20.2,-5.12,-5.12
20.4,-5.11,-5.11
20.61,-5.11,-5.11
20.81,-5.11,-5.12
21.02,-5.13,-5.13
21.23,-5.15,-5.15
21.44,-5.17,-5.18
21.66,-5.2,-5.2
21.87,-5.22,-5.22
22.09,-5.24,-5.24
22.31,-5.25,-5.25
22.54,-5.25,-5.25
22.76,-5.24,-5.24
22.99,-5.22,-5.22
23.22,-5.19,-5.2
23.45,-5.17,-5.17
23.69,-5.15,-5.15
23.92,-5.14,-5.14
24.16,-5.14,-5.14
24.4,-5.15,-5.15
24.65,-5.17,-5.17
24.89,-5.19,-5.19
25.14,-5.2,-5.21
25.39,-5.22,-5.22
25.65,-5.22,-5.22
25.91,-5.21,-5.21
26.16,-5.2,-5.2
26.43,-5.19,-5.19
26.69,-5.19,-5.19
26.96,-5.19,-5.2
27.23,-5.2,-5.2
27.5,-5.21,-5.21
27.77,-5.21,-5.22
28.05,-5.22,-5.22
28.33,-5.21,-5.21
28.62,-5.2,-5.21
28.9,-5.2,-5.2
29.19,-5.2,-5.2
29.48,-5.21,-5.22
29.78,-5.23,-5.23
30.08,-5.26,-5.26
30.38,-5.28,-5.28
30.68,-5.3,-5.3
30.99,-5.31,-5.31
31.3,-5.3,-5.31
31.61,-5.29,-5.29
31.93,-5.27,-5.27
32.24,-5.23,-5.23
32.57,-5.18,-5.18
32.89,-5.13,-5.13
33.22,-5.07,-5.07
33.55,-5.02,-5.03
33.89,-4.99,-5.0
34.23,-4.98,-4.99
34.57,-4.99,-4.99
34.92,-5.0,-5.0
35.27,-5.01,-5.01
35.62,-5.0,-5.01
35.97,-4.99,-4.99
36.33,-4.96,-4.96
36.7,-4.92,-4.92
37.06,-4.87,-4.87
37.43,-4.81,-4.81
37.81,-4.74,-4.74
38.19,-4.67,-4.67
38.57,-4.61,-4.61
38.95,-4.56,-4.56
39.34,-4.53,-4.53
39.74,-4.51,-4.52
40.14,-4.52,-4.52
40.54,-4.53,-4.53
40.94,-4.54,-4.54
41.35,-4.55,-4.55
41.76,-4.56,-4.57
42.18,-4.59,-4.59
42.6,-4.61,-4.62
43.03,-4.64,-4.64
43.46,-4.66,-4.66
43.9,-4.67,-4.67
44.33,-4.68,-4.68
44.78,-4.69,-4.69
45.23,-4.69,-4.69
45.68,-4.69,-4.69
46.13,-4.69,-4.69
46.6,-4.69,-4.69
47.06,-4.68,-4.68
47.53,-4.66,-4.66
48.01,-4.61,-4.61
48.49,-4.56,-4.56
48.97,-4.5,-4.51
49.46,-4.46,-4.47
49.96,-4.45,-4.45
50.46,-4.46,-4.46
50.96,-4.47,-4.47
51.47,-4.48,-4.48
51.99,-4.48,-4.49
52.51,-4.5,-4.5
53.03,-4.51,-4.51
53.56,-4.53,-4.53
54.1,-4.54,-4.55
54.64,-4.56,-4.56
55.18,-4.57,-4.57
55.74,-4.58,-4.58
56.29,-4.58,-4.58
56.86,-4.57,-4.58
57.42,-4.59,-4.59
58.0,-4.61,-4.62
58.58,-4.64,-4.64
59.16,-4.67,-4.66
59.76,-4.66,-4.67
60.35,-4.66,-4.66
60.96,-4.65,-4.65
61.57,-4.64,-4.64
62.18,-4.61,-4.62
62.8,-4.6,-4.6
63.43,-4.59,-4.59
64.07,-4.58,-4.58
64.71,-4.57,-4.58
65.35,-4.57,-4.57
66.01,-4.57,-4.57
66.67,-4.56,-4.57
67.33,-4.57,-4.57
68.01,-4.58,-4.57
68.69,-4.57,-4.58
69.37,-4.57,-4.58
70.07,-4.58,-4.58
70.77,-4.58,-4.58
71.48,-4.58,-4.58
72.19,-4.58,-4.59
72.91,-4.59,-4.59
73.64,-4.59,-4.59
74.38,-4.59,-4.59
75.12,-4.59,-4.59
75.87,-4.59,-4.6
76.63,-4.6,-4.61
77.4,-4.62,-4.62
78.17,-4.63,-4.63
78.95,-4.63,-4.63
79.74,-4.62,-4.62
80.54,-4.62,-4.62
81.35,-4.61,-4.62
82.16,-4.63,-4.63
82.98,-4.63,-4.62
83.81,-4.61,-4.62
84.65,-4.61,-4.61
85.5,-4.61,-4.61
86.35,-4.61,-4.61
87.22,-4.61,-4.61
88.09,-4.6,-4.61
88.97,-4.6,-4.6
89.86,-4.6,-4.6
90.76,-4.6,-4.6
91.66,-4.6,-4.6
92.58,-4.59,-4.59
93.51,-4.58,-4.59
94.44,-4.58,-4.58
95.39,-4.58,-4.58
96.34,-4.58,-4.59
97.3,-4.61,-4.6
98.28,-4.6,-4.6
99.26,-4.6,-4.6
100.25,-4.59,-4.59
101.25,-4.59,-4.59
102.27,-4.59,-4.59
103.29,-4.59,-4.6
104.32,-4.6,-4.6
105.37,-4.61,-4.61
106.42,-4.61,-4.61
107.48,-4.6,-4.61
108.56,-4.61,-4.61
109.64,-4.61,-4.61
110.74,-4.61,-4.61
111.85,-4.61,-4.61
112.97,-4.61,-4.61
114.1,-4.61,-4.62
115.24,-4.62,-4.62
116.39,-4.63,-4.63
117.55,-4.64,-4.64
118.73,-4.64,-4.64
119.92,-4.64,-4.64
121.12,-4.64,-4.64
122.33,-4.63,-4.64
123.55,-4.63,-4.63
124.79,-4.63,-4.63
126.03,-4.63,-4.64
127.29,-4.64,-4.64
128.57,-4.64,-4.64
129.85,-4.64,-4.64
131.15,-4.64,-4.64
132.46,-4.64,-4.64
133.79,-4.64,-4.64
135.12,-4.64,-4.64
136.48,-4.64,-4.65
137.84,-4.65,-4.65
139.22,-4.64,-4.65
140.61,-4.64,-4.64
142.02,-4.64,-4.64
143.44,-4.64,-4.64
144.87,-4.63,-4.64
146.32,-4.64,-4.64
147.78,-4.64,-4.64
149.26,-4.64,-4.64
150.75,-4.63,-4.64
152.26,-4.63,-4.63
153.78,-4.63,-4.63
155.32,-4.63,-4.63
156.88,-4.63,-4.63
158.44,-4.63,-4.63
160.03,-4.62,-4.63
161.63,-4.63,-4.63
163.24,-4.63,-4.63
164.88,-4.62,-4.62
166.53,-4.61,-4.62
168.19,-4.61,-4.61
169.87,-4.61,-4.61
171.57,-4.61,-4.61
173.29,-4.61,-4.61
175.02,-4.61,-4.61
176.77,-4.61,-4.61
178.54,-4.61,-4.61
180.32,-4.61,-4.61
182.13,-4.6,-4.6
183.95,-4.59,-4.59
185.79,-4.58,-4.59
187.65,-4.59,-4.59
189.52,-4.58,-4.59
191.42,-4.58,-4.58
193.33,-4.58,-4.58
195.27,-4.57,-4.58
197.22,-4.57,-4.57
199.19,-4.57,-4.57
201.18,-4.56,-4.57
203.19,-4.56,-4.56
205.23,-4.56,-4.56
207.28,-4.55,-4.56
209.35,-4.55,-4.55
211.44,-4.55,-4.55
213.56,-4.55,-4.55
215.69,-4.54,-4.54
217.85,-4.53,-4.54
220.03,-4.54,-4.53
222.23,-4.52,-4.53
224.45,-4.52,-4.53
226.7,-4.52,-4.52
228.96,-4.52,-4.52
231.25,-4.51,-4.51
233.57,-4.5,-4.51
235.9,-4.5,-4.51
238.26,-4.51,-4.51
240.64,-4.51,-4.5
243.05,-4.49,-4.5
245.48,-4.48,-4.49
247.93,-4.48,-4.48
250.41,-4.47,-4.47
252.92,-4.46,-4.46
255.45,-4.45,-4.45
258.0,-4.44,-4.44
260.58,-4.42,-4.43
263.19,-4.41,-4.41
265.82,-4.4,-4.4
268.48,-4.39,-4.39
271.16,-4.38,-4.39
273.87,-4.38,-4.38
276.61,-4.38,-4.38
279.38,-4.38,-4.38
282.17,-4.38,-4.38
284.99,-4.37,-4.38
287.84,-4.37,-4.37
290.72,-4.37,-4.37
293.63,-4.37,-4.37
296.57,-4.37,-4.38
299.53,-4.38,-4.38
302.53,-4.37,-4.37
305.55,-4.36,-4.37
308.61,-4.35,-4.36
311.69,-4.36,-4.36
314.81,-4.35,-4.35
317.96,-4.34,-4.34
321.14,-4.33,-4.34
324.35,-4.33,-4.33
327.59,-4.33,-4.33
330.87,-4.33,-4.33
334.18,-4.33,-4.33
337.52,-4.32,-4.33
340.9,-4.32,-4.33
344.3,-4.33,-4.33
347.75,-4.33,-4.33
351.23,-4.33,-4.33
354.74,-4.32,-4.32
358.28,-4.3,-4.31
361.87,-4.29,-4.29
365.49,-4.27,-4.27
369.14,-4.25,-4.25
372.83,-4.22,-4.22
376.56,-4.19,-4.19
380.33,-4.14,-4.14
384.13,-4.09,-4.09
387.97,-4.04,-4.04
391.85,-3.99,-3.99
395.77,-3.94,-3.94
399.73,-3.89,-3.9
403.72,-3.85,-3.85
407.76,-3.81,-3.81
411.84,-3.76,-3.76
415.96,-3.71,-3.72
420.12,-3.67,-3.67
424.32,-3.64,-3.64
428.56,-3.6,-3.61
432.85,-3.57,-3.57
437.18,-3.54,-3.54
441.55,-3.5,-3.5
445.96,-3.46,-3.46
450.42,-3.42,-3.42
454.93,-3.39,-3.39
459.48,-3.36,-3.36
464.07,-3.34,-3.34
468.71,-3.32,-3.32
473.4,-3.3,-3.3
478.13,-3.28,-3.28
482.91,-3.25,-3.25
487.74,-3.23,-3.23
492.62,-3.21,-3.22
497.55,-3.2,-3.2
502.52,-3.17,-3.17
507.55,-3.14,-3.14
512.62,-3.11,-3.11
517.75,-3.07,-3.08
522.93,-3.04,-3.04
528.16,-3.01,-3.0
533.44,-2.96,-2.97
538.77,-2.91,-2.93
544.16,-2.91,-2.89
549.6,-2.85,-2.85
555.1,-2.79,-2.8
560.65,-2.73,-2.73
566.25,-2.68,-2.68
571.92,-2.63,-2.64
577.64,-2.6,-2.6
583.41,-2.57,-2.57
589.25,-2.54,-2.53
595.14,-2.48,-2.48
601.09,-2.41,-2.42
607.1,-2.35,-2.35
613.17,-2.29,-2.28
619.3,-2.2,-2.21
625.5,-2.13,-2.14
631.75,-2.08,-2.08
638.07,-2.03,-2.03
644.45,-1.98,-1.98
650.89,-1.94,-1.95
657.4,-1.94,-1.95
663.98,-1.96,-1.96
670.62,-1.97,-1.97
677.32,-1.95,-1.95
684.1,-1.91,-1.91
