frequency,raw,smoothed
20.0,-6.57,-6.57
20.2,-6.53,-6.52
20.4,-6.47,-6.47
20.61,-6.4,-6.4
20.81,-6.34,-6.33
21.02,-6.26,-6.26
21.23,-6.19,-6.19
21.44,-6.11,-6.11
21.66,-6.03,-6.03
21.87,-5.94,-5.95
22.09,-5.87,-5.87
22.31,-5.8,-5.79
22.54,-5.72,-5.72
22.76,-5.64,-5.64
22.99,-5.56,-5.56
23.22,-5.49,-5.49
23.45,-5.41,-5.42
23.69,-5.35,-5.34
23.92,-5.27,-5.26
24.16,-5.17,-5.18
24.4,-5.1,-5.09
24.65,-5.0,-5.01
24.89,-4.94,-4.92
25.14,-4.83,-4.84
25.39,-4.76,-4.76
25.65,-4.69,-4.68
25.91,-4.61,-4.61
26.16,-4.53,-4.54
26.43,-4.48,-4.48
26.69,-4.41,-4.41
26.96,-4.36,-4.35
27.23,-4.27,-4.28
27.5,-4.22,-4.22
27.77,-4.18,-4.16
28.05,-4.1,-4.11
28.33,-4.04,-4.04
28.62,-3.97,-3.97
28.9,-3.9,-3.9
29.19,-3.83,-3.83
29.48,-3.76,-3.76
29.78,-3.69,-3.69
30.08,-3.63,-3.62
30.38,-3.55,-3.56
30.68,-3.5,-3.5
30.99,-3.43,-3.43
31.3,-3.37,-3.37
31.61,-3.29,-3.3
31.93,-3.24,-3.23
32.24,-3.16,-3.17
32.57,-3.11,-3.11
32.89,-3.06,-3.05
33.22,-2.98,-2.99
33.55,-2.94,-2.94
33.89,-2.89,-2.88
34.23,-2.83,-2.83
34.57,-2.78,-2.78
34.92,-2.73,-2.73
35.27,-2.69,-2.69
35.62,-2.64,-2.64
35.97,-2.59,-2.59
36.33,-2.55,-2.54
36.7,-2.49,-2.49
37.06,-2.43,-2.44
37.43,-2.39,-2.38
37.81,-2.33,-2.33
38.19,-2.28,-2.28
38.57,-2.23,-2.23
38.95,-2.19,-2.19
39.34,-2.14,-2.14
39.74,-2.11,-2.1
40.14,-2.05,-2.06
40.54,-2.02,-2.01
40.94,-1.97,-1.97
41.35,-1.94,-1.94
41.76,-1.91,-1.9
42.18,-1.87,-1.87
42.6,-1.82,-1.83
43.03,-1.79,-1.79
43.46,-1.76,-1.76
43.9,-1.73,-1.72
44.33,-1.69,-1.69
44.78,-1.64,-1.65
45.23,-1.64,-1.62
45.68,-1.59,-1.6
46.13,-1.59,-1.58
46.6,-1.55,-1.56
47.06,-1.55,-1.55
47.53,-1.55,-1.53
48.01,-1.52,-1.52
48.49,-1.5,-1.51
48.97,-1.5,-1.5
49.46,-1.5,-1.49
49.96,-1.5,-1.5
50.46,-1.5,-1.51
50.96,-1.55,-1.53
51.47,-1.55,-1.56
51.99,-1.59,-1.59
52.51,-1.63,-1.63
53.03,-1.69,-1.69
53.56,-1.75,-1.75
54.1,-1.81,-1.82
54.64,-1.89,-1.88
55.18,-1.94,-1.94
55.74,-1.99,-2.0
56.29,-2.04,-2.03
56.86,-2.06,-2.04
57.42,-2.01,-2.02
58.0,-1.96,-1.96
58.58,-1.88,-1.88
59.16,-1.81,-1.8
59.76,-1.71,-1.71
60.35,-1.62,-1.62
60.96,-1.51,-1.51
61.57,-1.4,-1.4
62.18,-1.29,-1.29
62.8,-1.19,-1.19
63.43,-1.1,-1.09
64.07,-0.99,-1.0
64.71,-0.93,-0.92
65.35,-0.84,-0.84
66.01,-0.78,-0.78
66.67,-0.72,-0.71
67.33,-0.66,-0.66
68.01,-0.62,-0.62
68.69,-0.59,-0.59
69.37,-0.57,-0.57
70.07,-0.57,-0.55
70.77,-0.52,-0.53
71.48,-0.52,-0.52
72.19,-0.52,-0.51
72.91,-0.52,-0.51
73.64,-0.49,-0.5
74.38,-0.48,-0.48
75.12,-0.45,-0.45
75.87,-0.43,-0.42
76.63,-0.38,-0.39
77.4,-0.38,-0.37
78.17,-0.34,-0.35
78.95,-0.34,-0.32
79.74,-0.29,-0.31
80.54,-0.29,-0.29
81.35,-0.29,-0.27
82.16,-0.24,-0.26
82.98,-0.24,-0.24
83.81,-0.24,-0.23
84.65,-0.2,-0.21
85.5,-0.2,-0.19
86.35,-0.15,-0.16
87.22,-0.15,-0.14
88.09,-0.13,-0.12
88.97,-0.1,-0.11
89.86,-0.1,-0.1
90.76,-0.1,-0.09
91.66,-0.08,-0.09
92.58,-0.09,-0.09
93.51,-0.1,-0.09
94.44,-0.1,-0.1
95.39,-0.1,-0.1
96.34,-0.1,-0.1
97.3,-0.1,-0.1
98.28,-0.1,-0.1
99.26,-0.1,-0.1
100.25,-0.1,-0.1
101.25,-0.1,-0.1
102.27,-0.1,-0.1
103.29,-0.1,-0.1
104.32,-0.1,-0.1
105.37,-0.1,-0.1
106.42,-0.1,-0.1
107.48,-0.1,-0.1
108.56,-0.1,-0.1
109.64,-0.1,-0.11
110.74,-0.13,-0.13
111.85,-0.15,-0.14
112.97,-0.15,-0.15
114.1,-0.15,-0.15
115.24,-0.15,-0.15
116.39,-0.15,-0.16
117.55,-0.18,-0.17
118.73,-0.2,-0.19
119.92,-0.2,-0.21
121.12,-0.23,-0.22
122.33,-0.24,-0.24
123.55,-0.24,-0.26
124.79,-0.29,-0.27
126.03,-0.29,-0.29
127.29,-0.29,-0.31
128.57,-0.34,-0.32
129.85,-0.34,-0.34
131.15,-0.34,-0.35
132.46,-0.38,-0.37
133.79,-0.38,-0.39
135.12,-0.43,-0.41
136.48,-0.43,-0.43
137.84,-0.43,-0.45
139.22,-0.48,-0.46
140.61,-0.48,-0.49
142.02,-0.52,-0.51
143.44,-0.52,-0.53
144.87,-0.56,-0.56
