freq,dB
20.01,4.65
20.56,4.62
21.13,4.62
21.72,4.59
22.32,4.56
22.97,4.53
23.61,4.5
24.26,4.5
24.94,4.5
25.63,4.47
26.34,4.44
27.07,4.44
27.82,4.41
28.6,4.41
29.42,4.38
30.24,4.35
31.08,4.32
31.94,4.29
32.83,4.26
33.74,4.23
34.68,4.2
35.64,4.17
36.63,4.17
37.65,4.11
38.74,4.08
39.82,4.08
40.92,4.05
42.06,4.02
43.23,3.99
44.43,3.93
45.66,3.9
46.93,3.84
48.23,3.84
49.63,3.81
51.01,3.78
52.43,3.75
53.88,3.72
55.38,3.69
56.92,3.66
58.5,3.63
60.12,3.57
61.79,3.54
63.58,3.51
65.35,3.48
67.16,3.42
69.03,3.39
70.95,3.33
72.92,3.3
74.94,3.24
77.02,3.18
79.16,3.12
81.36,3.06
83.72,3
86.04,2.94
88.43,2.88
90.89,2.85
93.41,2.79
96.01,2.76
98.67,2.7
101.41,2.64
104.23,2.61
107.25,2.55
110.23,2.46
113.29,2.4
116.43,2.34
119.67,2.25
122.99,2.19
126.41,2.13
129.92,2.07
133.52,2.01
137.4,1.95
141.21,1.89
145.13,1.8
149.16,1.74
153.3,1.65
157.56,1.59
161.94,1.5
166.43,1.41
171.06,1.35
175.81,1.26
180.9,1.2
185.93,1.11
191.09,1.05
196.4,0.99
201.85,0.93
207.46,0.87
213.22,0.81
219.14,0.75
225.22,0.72
231.75,0.66
238.19,0.63
244.8,0.57
251.6,0.51
258.59,0.42
265.77,0.36
273.15,0.27
280.73,0.18
288.53,0.09
296.9,0
305.14,-0.09
313.61,-0.15
322.32,-0.24
331.27,-0.33
340.47,-0.39
349.93,-0.48
359.64,-0.54
369.63,-0.63
380.35,-0.72
390.91,-0.81
401.77,-0.87
412.92,-0.96
424.39,-1.05
436.17,-1.14
448.29,-1.23
460.73,-1.29
473.53,-1.38
486.68,-1.47
500.79,-1.53
514.7,-1.62
528.99,-1.68
543.68,-1.74
558.78,-1.8
574.29,-1.83
590.24,-1.89
606.63,-1.92
623.48,-1.95
641.55,-1.98
659.37,-2.01
677.68,-2.01
696.5,-2.01
715.84,-2.01
735.72,-1.98
756.15,-1.98
777.15,-1.92
798.73,-1.89
821.88,-1.83
844.71,-1.77
868.16,-1.68
892.27,-1.59
917.05,-1.47
942.52,-1.38
968.69,-1.23
995.59,-1.11
1023.24,-0.96
1051.65,-0.81
1082.14,-0.6
1112.19,-0.39
1143.08,-0.18
1174.82,0.09
1207.44,0.39
1240.97,0.69
1275.43,1.05
1310.85,1.44
1347.25,1.86
1386.32,2.31
1424.81,2.79
1464.38,3.33
1505.04,3.93
1546.84,4.59
1589.79,5.31
1633.94,6.12
1679.31,6.96
1725.95,7.86
1775.99,8.7
1825.31,9.42
1875.99,9.96
1928.09,10.32
1981.63,10.5
2036.66,10.5
2093.22,10.32
2151.34,9.99
2211.09,9.45
2275.19,8.73
2338.37,7.89
2403.31,7.02
2470.05,6.21
2538.64,5.43
2609.14,4.74
2681.59,4.17
2756.05,3.69
2832.59,3.33
2911.25,3.12
2995.66,3.03
3078.84,3.12
3164.34,3.33
3252.21,3.66
3342.52,3.99
3435.34,4.2
3530.74,4.32
3628.79,4.29
3729.56,4.14
3837.69,3.87
3944.26,3.39
4053.79,2.7
4166.36,1.8
4282.06,0.78
4400.97,-0.3
4523.18,-1.47
4648.79,-2.79
4777.88,-4.29
4916.41,-5.91
5052.93,-7.29
5193.25,-8.07
5337.46,-8.22
5485.68,-8.13
5638.02,-7.95
5794.58,-7.8
5955.49,-7.71
6120.87,-7.8
6290.84,-8.16
6473.24,-8.91
6653,-9.87
6837.75,-10.89
7027.63,-11.97
7222.78,-12.45
7423.35,-12.66
7629.49,-12.66
7841.36,-12.36
8059.11,-11.76
8292.77,-10.71
8523.06,-9.12
8759.74,-7.08
9002.99,-5.04
9252.99,-3.54
9509.94,-2.7
9774.03,-2.28
10045.45,-2.1
10324.4,-2.01
10623.75,-2.07
10918.76,-2.25
11221.97,-2.34
11533.59,-2.34
11853.87,-2.28
12183.05,-2.22
12521.36,-2.22
12869.07,-2.19
13226.44,-2.25
13593.73,-2.61
13987.86,-3.42
14376.3,-4.74
14775.52,-6.24
15185.82,-7.47
15607.52,-8.64
16040.93,-10.29
16486.38,-12.99
16944.2,-17.25
17414.72,-21.57
17919.65,-25.14
18417.26,-28.56
18928.7,-32.16
19454.33,-34.71
