freq,dB
20.01,7.38
20.56,7.44
21.13,7.5
21.72,7.56
22.32,7.59
22.97,7.65
23.61,7.68
24.26,7.68
24.94,7.68
25.63,7.71
26.34,7.71
27.07,7.71
27.82,7.74
28.6,7.74
29.42,7.77
30.24,7.83
31.08,7.86
31.94,7.86
32.83,7.89
33.74,7.92
34.68,7.92
35.64,7.89
36.63,7.89
37.65,7.86
38.74,7.83
39.82,7.8
40.92,7.74
42.06,7.68
43.23,7.65
44.43,7.56
45.66,7.5
46.93,7.41
48.23,7.32
49.63,7.2
51.01,7.11
52.43,6.99
53.88,6.9
55.38,6.75
56.92,6.66
58.5,6.54
60.12,6.42
61.79,6.24
63.58,6.09
65.35,5.94
67.16,5.79
69.03,5.64
70.95,5.46
72.92,5.28
74.94,5.1
77.02,4.95
79.16,4.8
81.36,4.65
83.72,4.53
86.04,4.41
88.43,4.32
90.89,4.2
93.41,4.08
96.01,3.96
98.67,3.81
101.41,3.69
104.23,3.57
107.25,3.42
110.23,3.27
113.29,3.15
116.43,2.97
119.67,2.82
122.99,2.67
126.41,2.49
129.92,2.31
133.52,2.16
137.4,2.01
141.21,1.89
145.13,1.8
149.16,1.68
153.3,1.56
157.56,1.44
161.94,1.32
166.43,1.2
171.06,1.08
175.81,0.96
180.9,0.81
185.93,0.69
191.09,0.57
196.4,0.45
201.85,0.33
207.46,0.24
213.22,0.15
219.14,0.06
225.22,0
231.75,-0.09
238.19,-0.15
244.8,-0.21
251.6,-0.24
258.59,-0.27
265.77,-0.3
273.15,-0.33
280.73,-0.33
288.53,-0.36
296.9,-0.33
305.14,-0.33
313.61,-0.33
322.32,-0.33
331.27,-0.33
340.47,-0.33
349.93,-0.3
359.64,-0.27
369.63,-0.27
380.35,-0.24
390.91,-0.24
401.77,-0.21
412.92,-0.18
424.39,-0.15
436.17,-0.15
448.29,-0.12
460.73,-0.09
473.53,-0.06
486.68,-0.03
500.79,0
514.7,0.03
528.99,0.06
543.68,0.09
558.78,0.15
574.29,0.18
590.24,0.18
606.63,0.24
623.48,0.3
641.55,0.33
659.37,0.36
677.68,0.42
696.5,0.48
715.84,0.51
735.72,0.54
756.15,0.57
777.15,0.63
798.73,0.66
821.88,0.69
844.71,0.72
868.16,0.75
892.27,0.78
917.05,0.81
942.52,0.84
968.69,0.9
995.59,0.93
1023.24,0.96
1051.65,1.02
1082.14,1.08
1112.19,1.14
1143.08,1.23
1174.82,1.32
1207.44,1.47
1240.97,1.59
1275.43,1.77
1310.85,1.92
1347.25,2.1
1386.32,2.31
1424.81,2.49
1464.38,2.67
1505.04,2.88
1546.84,3.12
1589.79,3.36
1633.94,3.6
1679.31,3.9
1725.95,4.2
1775.99,4.5
1825.31,4.83
1875.99,5.19
1928.09,5.55
1981.63,5.94
2036.66,6.3
2093.22,6.63
2151.34,6.99
2211.09,7.32
2275.19,7.65
2338.37,7.95
2403.31,8.19
2470.05,8.4
2538.64,8.58
2609.14,8.76
2681.59,8.91
2756.05,9.06
2832.59,9.15
2911.25,9.21
2995.66,9.3
3078.84,9.36
3164.34,9.36
3252.21,9.33
3342.52,9.3
3435.34,9.21
3530.74,9.09
3628.79,8.97
3729.56,8.85
3837.69,8.7
3944.26,8.58
4053.79,8.4
4166.36,8.25
4282.06,8.07
4400.97,7.89
4523.18,7.68
4648.79,7.47
4777.88,7.29
4916.41,7.05
5052.93,6.84
5193.25,6.6
5337.46,6.33
5485.68,6.03
5638.02,5.76
5794.58,5.46
5955.49,5.07
6120.87,4.62
6290.84,4.11
6473.24,3.51
6653,2.79
6837.75,1.92
7027.63,0.81
7222.78,-0.51
7423.35,-1.68
7629.49,-2.46
7841.36,-2.91
8059.11,-3.03
8292.77,-2.82
8523.06,-2.16
8759.74,-1.02
9002.99,0.3
9252.99,1.5
9509.94,2.4
9774.03,2.76
10045.45,2.73
10324.4,2.43
10623.75,1.95
10918.76,1.29
11221.97,0.39
11533.59,-0.93
11853.87,-2.49
12183.05,-4.05
12521.36,-5.31
12869.07,-6.21
13226.44,-6.96
13593.73,-7.62
13987.86,-8.19
14376.3,-8.55
14775.52,-8.76
15185.82,-9
15607.52,-9.69
16040.93,-11.28
16486.38,-13.23
16944.2,-15.42
17414.72,-17.28
17919.65,-19.05
18417.26,-20.58
18928.7,-22.11
19454.33,-23.55
