freq,dB
20.01,7.38
20.56,7.44
21.13,7.5
21.72,7.53
22.32,7.59
22.97,7.59
23.61,7.62
24.26,7.65
24.94,7.65
25.63,7.68
26.34,7.68
27.07,7.71
27.82,7.74
28.6,7.74
29.42,7.77
30.24,7.77
31.08,7.77
31.94,7.77
32.83,7.77
33.74,7.74
34.68,7.74
35.64,7.71
36.63,7.71
37.65,7.68
38.74,7.65
39.82,7.59
40.92,7.56
42.06,7.5
43.23,7.47
44.43,7.41
45.66,7.32
46.93,7.26
48.23,7.17
49.63,7.08
51.01,6.99
52.43,6.9
53.88,6.78
55.38,6.66
56.92,6.57
58.5,6.45
60.12,6.3
61.79,6.18
63.58,6.06
65.35,5.94
67.16,5.79
69.03,5.67
70.95,5.52
72.92,5.4
74.94,5.25
77.02,5.1
79.16,4.98
81.36,4.83
83.72,4.68
86.04,4.53
88.43,4.41
90.89,4.26
93.41,4.11
96.01,3.96
98.67,3.81
101.41,3.69
104.23,3.54
107.25,3.39
110.23,3.27
113.29,3.12
116.43,3
119.67,2.88
122.99,2.73
126.41,2.61
129.92,2.46
133.52,2.34
137.4,2.19
141.21,2.04
145.13,1.92
149.16,1.77
153.3,1.65
157.56,1.53
161.94,1.38
166.43,1.26
171.06,1.14
175.81,1.02
180.9,0.93
185.93,0.81
191.09,0.72
196.4,0.6
201.85,0.51
207.46,0.45
213.22,0.36
219.14,0.27
225.22,0.21
231.75,0.12
238.19,0.06
244.8,0
251.6,-0.06
258.59,-0.09
265.77,-0.12
273.15,-0.18
280.73,-0.18
288.53,-0.21
296.9,-0.24
305.14,-0.24
313.61,-0.27
322.32,-0.27
331.27,-0.27
340.47,-0.27
349.93,-0.24
359.64,-0.24
369.63,-0.24
380.35,-0.21
390.91,-0.18
401.77,-0.18
412.92,-0.15
424.39,-0.12
436.17,-0.12
448.29,-0.09
460.73,-0.06
473.53,-0.03
486.68,0
500.79,0.03
514.7,0.06
528.99,0.09
543.68,0.12
558.78,0.18
574.29,0.21
590.24,0.24
606.63,0.27
623.48,0.3
641.55,0.36
659.37,0.39
677.68,0.42
696.5,0.45
715.84,0.48
735.72,0.54
756.15,0.57
777.15,0.6
798.73,0.66
821.88,0.69
844.71,0.75
868.16,0.78
892.27,0.84
917.05,0.9
942.52,0.96
968.69,1.02
995.59,1.11
1023.24,1.2
1051.65,1.29
1082.14,1.38
1112.19,1.47
1143.08,1.59
1174.82,1.71
1207.44,1.86
1240.97,2.01
1275.43,2.16
1310.85,2.34
1347.25,2.52
1386.32,2.73
1424.81,2.94
1464.38,3.18
1505.04,3.42
1546.84,3.66
1589.79,3.93
1633.94,4.2
1679.31,4.5
1725.95,4.77
1775.99,5.04
1825.31,5.34
1875.99,5.61
1928.09,5.88
1981.63,6.15
2036.66,6.42
2093.22,6.66
2151.34,6.9
2211.09,7.14
2275.19,7.35
2338.37,7.56
2403.31,7.77
2470.05,7.95
2538.64,8.1
2609.14,8.25
2681.59,8.37
2756.05,8.49
2832.59,8.58
2911.25,8.64
2995.66,8.7
3078.84,8.73
3164.34,8.76
3252.21,8.76
3342.52,8.73
3435.34,8.7
3530.74,8.67
3628.79,8.61
3729.56,8.52
3837.69,8.43
3944.26,8.31
4053.79,8.19
4166.36,8.04
4282.06,7.89
4400.97,7.71
4523.18,7.53
4648.79,7.32
4777.88,7.08
4916.41,6.84
5052.93,6.54
5193.25,6.24
5337.46,5.91
5485.68,5.55
5638.02,5.16
5794.58,4.8
5955.49,4.41
6120.87,4.05
6290.84,3.69
6473.24,3.36
6653,3.09
6837.75,2.85
7027.63,2.61
7222.78,2.4
7423.35,2.19
7629.49,1.95
7841.36,1.74
8059.11,1.47
8292.77,1.17
8523.06,0.84
8759.74,0.51
9002.99,0.15
9252.99,-0.21
9509.94,-0.54
9774.03,-0.84
10045.45,-1.11
10324.4,-1.35
10623.75,-1.53
10918.76,-1.71
11221.97,-1.86
11533.59,-2.07
11853.87,-2.28
12183.05,-2.58
12521.36,-2.94
12869.07,-3.39
13226.44,-3.96
13593.73,-4.68
13987.86,-6.09
14376.3,-7.44
14775.52,-8.97
15185.82,-9.3
15607.52,-10.89
16040.93,-11.85
16486.38,-12.87
16944.2,-14.16
17414.72,-16.92
17919.65,-18.27
18417.26,-20.31
18928.7,-22.56
19454.33,-23.55
