freq,dB
20.01,132.36
20.56,132.33
21.13,132.33
21.72,132.3
22.32,132.27
22.97,132.24
23.61,132.21
24.26,132.21
24.94,132.21
25.63,132.18
26.34,132.15
27.07,132.15
27.82,132.12
28.6,132.12
29.42,132.09
30.24,132.06
31.08,132.03
31.94,132
32.83,131.97
33.74,131.94
34.68,131.91
35.64,131.88
36.63,131.88
37.65,131.82
38.74,131.79
39.82,131.79
40.92,131.76
42.06,131.73
43.23,131.7
44.43,131.64
45.66,131.61
46.93,131.55
48.23,131.55
49.63,131.52
51.01,131.49
52.43,131.46
53.88,131.43
55.38,131.4
56.92,131.37
58.5,131.34
60.12,131.28
61.79,131.25
63.58,131.22
65.35,131.19
67.16,131.13
69.03,131.1
70.95,131.04
72.92,131.01
74.94,130.95
77.02,130.89
79.16,130.83
81.36,130.77
83.72,130.71
86.04,130.65
88.43,130.59
90.89,130.56
93.41,130.5
96.01,130.47
98.67,130.41
101.41,130.35
104.23,130.32
107.25,130.26
110.23,130.17
113.29,130.11
116.43,130.05
119.67,129.96
122.99,129.9
126.41,129.84
129.92,129.78
133.52,129.72
137.4,129.66
141.21,129.6
145.13,129.51
149.16,129.45
153.3,129.36
157.56,129.3
161.94,129.21
166.43,129.12
171.06,129.06
175.81,128.97
180.9,128.91
185.93,128.82
191.09,128.76
196.4,128.7
201.85,128.64
207.46,128.58
213.22,128.52
219.14,128.46
225.22,128.43
231.75,128.37
238.19,128.34
244.8,128.28
251.6,128.22
258.59,128.13
265.77,128.07
273.15,127.98
280.73,127.89
288.53,127.8
296.9,127.71
305.14,127.62
313.61,127.56
322.32,127.47
331.27,127.38
340.47,127.32
349.93,127.23
359.64,127.17
369.63,127.08
380.35,126.99
390.91,126.9
401.77,126.84
412.92,126.75
424.39,126.66
436.17,126.57
448.29,126.48
460.73,126.42
473.53,126.33
486.68,126.24
500.79,126.18
514.7,126.09
528.99,126.03
543.68,125.97
558.78,125.91
574.29,125.88
590.24,125.82
606.63,125.79
623.48,125.76
641.55,125.73
659.37,125.7
677.68,125.7
696.5,125.7
715.84,125.7
735.72,125.73
756.15,125.73
777.15,125.79
798.73,125.82
821.88,125.88
844.71,125.94
868.16,126.03
892.27,126.12
917.05,126.24
942.52,126.33
968.69,126.48
995.59,126.6
1023.24,126.75
1051.65,126.9
1082.14,127.11
1112.19,127.32
1143.08,127.53
1174.82,127.8
1207.44,128.1
1240.97,128.4
1275.43,128.76
1310.85,129.15
1347.25,129.57
1386.32,130.02
1424.81,130.5
1464.38,131.04
1505.04,131.64
1546.84,132.3
1589.79,133.02
1633.94,133.83
1679.31,134.67
1725.95,135.57
1775.99,136.41
1825.31,137.13
1875.99,137.67
1928.09,138.03
1981.63,138.21
2036.66,138.21
2093.22,138.03
2151.34,137.7
2211.09,137.16
2275.19,136.44
2338.37,135.6
2403.31,134.73
2470.05,133.92
2538.64,133.14
2609.14,132.45
2681.59,131.88
2756.05,131.4
2832.59,131.04
2911.25,130.83
2995.66,130.74
3078.84,130.83
3164.34,131.04
3252.21,131.37
3342.52,131.7
3435.34,131.91
3530.74,132.03
3628.79,132
3729.56,131.85
3837.69,131.58
3944.26,131.1
4053.79,130.41
4166.36,129.51
4282.06,128.49
4400.97,127.41
4523.18,126.24
4648.79,124.92
4777.88,123.42
4916.41,121.8
5052.93,120.42
5193.25,119.64
5337.46,119.49
5485.68,119.58
5638.02,119.76
5794.58,119.91
5955.49,120
6120.87,119.91
6290.84,119.55
6473.24,118.8
6653,117.84
6837.75,116.82
7027.63,115.74
7222.78,115.26
7423.35,115.05
7629.49,115.05
7841.36,115.35
8059.11,115.95
8292.77,117
8523.06,118.59
8759.74,120.63
9002.99,122.67
9252.99,124.17
9509.94,125.01
9774.03,125.43
10045.45,125.61
10324.4,125.7
10623.75,125.64
10918.76,125.46
11221.97,125.37
11533.59,125.37
11853.87,125.43
12183.05,125.49
12521.36,125.49
12869.07,125.52
13226.44,125.46
13593.73,125.1
13987.86,124.29
14376.3,122.97
14775.52,121.47
15185.82,120.24
15607.52,119.07
16040.93,117.42
16486.38,114.72
16944.2,110.46
17414.72,106.14
17919.65,102.57
18417.26,99.15
18928.7,95.55
19454.33,93
