frequency,db
20.000,1.264
20.300,1.267
20.600,1.271
20.900,1.274
21.200,1.275
21.400,1.275
21.800,1.275
22.000,1.274
22.400,1.272
22.700,1.269
23.000,1.261
23.300,1.248
23.600,1.232
24.000,1.211
24.300,1.198
24.700,1.185
25.000,1.180
25.400,1.177
25.800,1.175
26.200,1.170
26.500,1.164
26.900,1.151
27.200,1.138
27.600,1.120
28.000,1.103
28.500,1.089
29.000,1.082
29.500,1.078
30.000,1.077
30.400,1.078
30.700,1.080
31.100,1.083
31.500,1.087
32.000,1.089
32.500,1.089
33.000,1.087
33.500,1.085
34.000,1.082
34.500,1.082
35.000,1.081
35.500,1.084
36.000,1.091
36.500,1.099
37.000,1.103
37.500,1.101
38.200,1.083
38.700,1.064
39.500,1.029
40.000,1.011
40.600,0.997
41.200,0.988
41.800,0.982
42.500,0.972
43.100,0.960
43.700,0.941
44.400,0.913
45.000,0.887
45.500,0.868
46.200,0.845
46.800,0.832
47.500,0.818
48.200,0.806
48.700,0.796
49.400,0.783
50.000,0.771
50.800,0.753
51.500,0.738
52.200,0.722
53.000,0.703
53.800,0.685
54.500,0.668
55.200,0.653
56.000,0.634
57.000,0.611
58.000,0.587
59.000,0.564
60.000,0.538
60.800,0.513
61.500,0.487
62.200,0.457
63.000,0.423
64.000,0.382
65.000,0.345
66.000,0.313
67.000,0.285
68.000,0.259
69.000,0.232
70.000,0.198
71.000,0.158
72.000,0.112
73.000,0.063
74.000,0.013
75.000,-0.033
76.200,-0.080
77.500,-0.126
78.800,-0.168
80.000,-0.204
81.200,-0.234
82.500,-0.260
83.800,-0.281
85.000,-0.297
86.200,-0.309
87.500,-0.316
88.500,-0.317
90.000,-0.316
91.200,-0.315
92.500,-0.313
93.800,-0.311
95.000,-0.309
96.200,-0.307
97.500,-0.306
98.800,-0.311
100.000,-0.325
101.500,-0.354
103.000,-0.393
104.400,-0.431
106.000,-0.474
107.500,-0.506
109.000,-0.531
110.600,-0.553
112.000,-0.574
113.800,-0.603
115.000,-0.627
117.200,-0.675
118.000,-0.694
120.600,-0.754
122.000,-0.783
124.100,-0.819
125.000,-0.832
126.500,-0.849
128.000,-0.864
131.500,-0.901
132.000,-0.908
134.000,-0.937
136.000,-0.970
138.000,-1.003
140.000,-1.033
143.000,-1.067
145.000,-1.084
147.500,-1.105
150.000,-1.124
152.500,-1.142
155.000,-1.159
157.500,-1.177
160.000,-1.201
162.500,-1.231
165.000,-1.271
167.500,-1.318
170.000,-1.367
172.500,-1.419
175.000,-1.477
177.500,-1.539
180.000,-1.604
182.500,-1.668
185.000,-1.728
187.500,-1.783
190.000,-1.830
192.500,-1.872
195.000,-1.912
197.500,-1.948
200.000,-1.982
203.000,-2.016
206.000,-2.046
209.000,-2.072
212.000,-2.096
214.000,-2.110
218.000,-2.139
220.000,-2.152
224.000,-2.177
227.000,-2.194
230.000,-2.205
233.000,-2.212
236.000,-2.215
240.000,-2.215
243.000,-2.210
247.000,-2.192
250.000,-2.169
254.000,-2.131
258.000,-2.094
262.000,-2.061
265.000,-2.041
269.000,-2.021
272.000,-2.009
276.000,-1.996
280.000,-1.984
285.000,-1.963
290.000,-1.938
295.000,-1.907
300.000,-1.877
304.000,-1.860
307.000,-1.851
311.000,-1.845
315.000,-1.840
320.000,-1.831
325.000,-1.821
330.000,-1.805
335.000,-1.786
340.000,-1.766
345.000,-1.750
350.000,-1.742
355.000,-1.747
360.000,-1.767
365.000,-1.799
370.000,-1.836
375.000,-1.872
382.000,-1.915
387.000,-1.937
395.000,-1.962
400.000,-1.973
406.000,-1.978
412.000,-1.974
418.000,-1.965
425.000,-1.952
431.000,-1.940
437.000,-1.927
444.000,-1.910
450.000,-1.895
455.000,-1.882
462.000,-1.864
468.000,-1.850
475.000,-1.832
482.000,-1.815
487.000,-1.801
494.000,-1.782
500.000,-1.763
508.000,-1.739
515.000,-1.716
522.000,-1.691
530.000,-1.659
538.000,-1.623
545.000,-1.586
552.000,-1.549
560.000,-1.505
570.000,-1.458
580.000,-1.421
590.000,-1.391
600.000,-1.363
608.000,-1.346
615.000,-1.335
622.000,-1.328
630.000,-1.321
640.000,-1.317
650.000,-1.313
660.000,-1.311
670.000,-1.310
680.000,-1.310
690.000,-1.308
700.000,-1.301
710.000,-1.280
720.000,-1.251
730.000,-1.218
740.000,-1.187
750.000,-1.159
762.000,-1.135
775.000,-1.115
788.000,-1.097
800.000,-1.079
812.000,-1.053
825.000,-1.010
838.000,-0.956
850.000,-0.902
862.000,-0.856
875.000,-0.818
885.000,-0.796
900.000,-0.770
912.000,-0.752
925.000,-0.736
938.000,-0.725
950.000,-0.720
962.000,-0.717
975.000,-0.714
988.000,-0.710
1000.000,-0.702
1015.000,-0.685
1030.000,-0.663
1044.000,-0.642
1060.000,-0.620
1075.000,-0.601
1090.000,-0.586
1106.000,-0.572
1120.000,-0.560
1138.000,-0.539
1150.000,-0.515
1172.000,-0.455
1180.000,-0.431
1206.000,-0.350
1220.000,-0.302
1241.000,-0.220
1250.000,-0.181
1265.000,-0.112
1280.000,-0.038
1315.000,0.144
1320.000,0.172
1340.000,0.286
1360.000,0.404
1380.000,0.524
1400.000,0.649
1430.000,0.856
1450.000,1.002
1475.000,1.185
1500.000,1.362
1525.000,1.537
1550.000,1.708
1575.000,1.875
1600.000,2.034
1625.000,2.182
1650.000,2.324
1675.000,2.462
1700.000,2.596
1725.000,2.730
1750.000,2.867
1775.000,3.007
1800.000,3.145
1825.000,3.280
1850.000,3.411
1875.000,3.540
1900.000,3.665
1925.000,3.787
1950.000,3.907
1975.000,4.030
2000.000,4.161
2030.000,4.331
2060.000,4.510
2090.000,4.691
2120.000,4.871
2140.000,4.991
2180.000,5.234
2200.000,5.358
2240.000,5.603
2270.000,5.774
2300.000,5.921
2330.000,6.040
2360.000,6.140
2400.000,6.259
2430.000,6.344
2470.000,6.455
2500.000,6.539
2540.000,6.650
2580.000,6.761
2620.000,6.858
2650.000,6.915
2690.000,6.966
2720.000,6.993
2760.000,7.024
2800.000,7.056
2850.000,7.096
2900.000,7.138
2950.000,7.181
3000.000,7.218
3040.000,7.231
3070.000,7.228
3110.000,7.213
3150.000,7.192
3200.000,7.163
3250.000,7.121
3300.000,7.054
3350.000,6.970
3400.000,6.880
3450.000,6.789
3500.000,6.697
3550.000,6.601
3600.000,6.504
3650.000,6.407
3700.000,6.309
3750.000,6.207
3820.000,6.057
3870.000,5.948
3950.000,5.775
4000.000,5.668
4060.000,5.538
4120.000,5.408
4180.000,5.278
4250.000,5.127
4310.000,4.999
4370.000,4.871
4440.000,4.721
4500.000,4.593
4550.000,4.485
4620.000,4.334
4680.000,4.205
4750.000,4.055
4820.000,3.905
4870.000,3.801
4940.000,3.659
5000.000,3.544
5080.000,3.396
5150.000,3.270
5220.000,3.148
5300.000,3.009
5380.000,2.870
5450.000,2.750
5520.000,2.631
5600.000,2.498
5700.000,2.334
5800.000,2.175
5900.000,2.020
6000.000,1.867
6080.000,1.746
6150.000,1.638
6220.000,1.529
6300.000,1.401
6400.000,1.237
6500.000,1.073
6600.000,0.918
6700.000,0.770
6800.000,0.629
6900.000,0.488
7000.000,0.340
7100.000,0.177
7200.000,0.006
7300.000,-0.168
7400.000,-0.335
7500.000,-0.489
7620.000,-0.661
7750.000,-0.827
7880.000,-0.964
8000.000,-1.038
8120.000,-1.045
8250.000,-0.998
8380.000,-0.925
8500.000,-0.848
8620.000,-0.762
8750.000,-0.662
8850.000,-0.582
9000.000,-0.462
9120.000,-0.374
9250.000,-0.294
9380.000,-0.236
9500.000,-0.202
9620.000,-0.185
9750.000,-0.193
9880.000,-0.247
10000.000,-0.367
10150.000,-0.621
10300.000,-0.959
10440.000,-1.311
10600.000,-1.735
10750.000,-2.151
10900.000,-2.581
11060.000,-3.048
11200.000,-3.455
11380.000,-3.976
11500.000,-4.318
11720.000,-4.931
11800.000,-5.147
12060.000,-5.819
12200.000,-6.141
12410.000,-6.532
12500.000,-6.658
12650.000,-6.813
12800.000,-6.920
13150.000,-7.093
13200.000,-7.116
13400.000,-7.201
13600.000,-7.278
13800.000,-7.346
14000.000,-7.416
14300.000,-7.545
14500.000,-7.645
14750.000,-7.776
15000.000,-7.920
15250.000,-8.099
15500.000,-8.319
15750.000,-8.585
16000.000,-8.941
16250.000,-9.436
16500.000,-10.040
16750.000,-10.699
17000.000,-11.381
17250.000,-12.083
17500.000,-12.800
17750.000,-13.533
18000.000,-14.279
18250.000,-15.028
18500.000,-15.768
18750.000,-16.478
19000.000,-17.155
19250.000,-17.801
19500.000,-18.415
19750.000,-18.978
20000.000,-19.222
