* Measurement data measured by REW V5.20.13
* Source: C:\Users\T-Gamer\Desktop\VDSF Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: 29/05/2023 16:16:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\T-Gamer\Desktop\VDSF Target.txt Format: Comma/Tab/Space delimited data 958 values loaded, 20 Hz to 20.040 Hz log spaced
* Measurement: VDSF Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	86.965
20.299999	86.968
20.600000	86.972
20.900000	86.975
21.200001	86.976
21.400000	86.976
21.799999	86.976
22.000000	86.975
22.400000	86.973
22.700001	86.970
23.000000	86.962
23.299999	86.949
23.600000	86.933
24.000000	86.912
24.299999	86.899
24.700001	86.886
25.000000	86.881
25.400000	86.878
25.799999	86.876
26.200001	86.871
26.500000	86.865
26.900000	86.852
27.200001	86.839
27.600000	86.821
28.000000	86.804
28.500000	86.790
29.000000	86.783
29.500000	86.779
30.000000	86.778
30.400000	86.779
30.700001	86.781
31.100000	86.784
31.500000	86.788
32.000000	86.790
32.500000	86.790
33.000000	86.788
33.500000	86.786
34.000000	86.783
34.500000	86.783
35.000000	86.782
35.500000	86.785
36.000000	86.792
36.500000	86.800
37.000000	86.804
37.500000	86.802
38.200001	86.784
38.700001	86.765
39.500000	86.730
40.000000	86.712
40.599998	86.698
41.200001	86.689
41.799999	86.683
42.500000	86.673
43.099998	86.661
43.700001	86.642
44.400002	86.614
45.000000	86.588
45.500000	86.569
46.200001	86.546
46.799999	86.533
47.500000	86.519
48.200001	86.507
48.700001	86.497
49.400002	86.484
50.000000	86.472
50.799999	86.454
51.500000	86.439
52.200001	86.423
53.000000	86.404
53.799999	86.386
54.500000	86.369
55.200001	86.354
56.000000	86.335
57.000000	86.312
58.000000	86.288
59.000000	86.265
60.000000	86.239
60.799999	86.214
61.500000	86.188
62.200001	86.158
63.000000	86.124
64.000000	86.083
65.000000	86.046
66.000000	86.014
67.000000	85.986
68.000000	85.960
69.000000	85.933
70.000000	85.899
71.000000	85.859
72.000000	85.813
73.000000	85.764
74.000000	85.714
75.000000	85.668
76.199997	85.621
77.500000	85.575
78.800003	85.533
80.000000	85.497
81.199997	85.467
82.500000	85.441
83.800003	85.420
85.000000	85.404
86.199997	85.392
