frequency_hz,relative_db
20.0,-12.00
22.5,-11.27
25.3,-10.40
28.4,-9.88
31.9,-9.12
35.9,-8.38
40.4,-7.65
45.4,-7.08
51.0,-6.62
57.4,-6.05
64.5,-5.48
72.5,-4.98
81.5,-4.48
91.6,-3.98
103.0,-3.42
115.8,-2.97
130.2,-2.52
146.4,-2.01
164.5,-1.62
185.0,-1.98
208.0,-1.28
233.8,-0.77
262.8,-0.33
295.5,0.80
332.2,0.86
373.4,0.86
419.8,0.67
472.0,0.67
530.6,1.05
596.5,1.43
670.6,1.90
753.9,2.42
847.5,2.87
952.8,3.38
1071.1,3.72
1204.2,4.47
1353.8,5.36
1521.9,6.25
1710.9,6.64
1923.4,6.83
2162.4,6.89
2430.9,7.61
2732.9,8.72
3072.3,9.47
3454.0,9.22
3883.0,8.72
4365.3,8.47
4907.5,7.59
5517.1,3.53
6202.3,1.49
6972.7,1.93
7838.8,1.93
8812.5,1.65
9907.1,-2.37
11137.6,-1.63
12521.0,0.26
14076.3,-2.77
15824.7,-11.72
17790.3,-15.54
20000.0,-21.96
