frequency_hz,relative_db
20.0,-23.93
22.5,-21.57
25.3,-19.75
28.4,-18.74
31.9,-17.21
35.9,-15.93
40.4,-14.78
45.4,-13.13
51.0,-11.97
57.4,-10.95
64.5,-9.82
72.5,-8.81
81.5,-7.87
91.6,-6.93
103.0,-6.05
115.8,-5.17
130.2,-4.34
146.4,-3.54
164.5,-3.54
185.0,-2.66
208.0,-1.91
233.8,-1.27
262.8,-0.74
295.5,0.23
332.2,0.90
373.4,1.35
419.8,1.55
472.0,1.68
530.6,2.25
596.5,2.67
670.6,3.38
753.9,4.22
847.5,5.07
952.8,5.90
1071.1,6.85
1204.2,8.03
1353.8,9.61
1521.9,11.59
1710.9,12.68
1923.4,12.54
2162.4,11.67
2430.9,11.92
2732.9,12.80
3072.3,12.70
3454.0,11.67
3883.0,10.85
4365.3,10.79
4907.5,10.79
5517.1,6.86
6202.3,3.70
6972.7,3.87
7838.8,4.90
8812.5,5.89
9907.1,2.36
11137.6,-2.37
12521.0,1.49
14076.3,2.14
15824.7,-11.08
17790.3,-16.66
20000.0,-23.01
